Name,Age,Date of Birth,Date of Joining,Total Posts,Total Impressions,Followers,Following,Avg Daily Time Spent (min),Avg Daily Posts,Gender,Country,Account Type,Verified
Natalie,18,6/20/1977,2/17/2020,556,66453,35013,2176,96,7,Female,Spain,Private,No
Joshua,27,5/18/1983,1/16/2018,609,7924,67391,1026,114,6,Female,Spain,Private,No
Sharon,39,9/14/1976,4/21/2021,691,58233,14633,4520,80,9,Male,Spain,Private,No
Jamie,47,1/9/2006,3/11/2020,275,15525,81867,4018,147,8,Female,Spain,Private,No
Casey,30,3/14/1993,10/20/2016,689,83201,55409,3759,149,8,Female,Pakistan,Private,No
Allen,58,5/30/1974,2/20/2019,89,14740,43277,4433,93,10,Male,Spain,Private,No
Jennifer,53,7/2/1981,1/17/2016,128,10557,12979,185,123,5,Male,Spain,Private,No
Jeff,46,5/3/1977,12/13/2016,523,6521,61835,84,140,10,Male,Spain,Private,No
Peter,51,6/23/1993,12/27/2015,133,15217,51405,502,99,11,Male,Spain,Private,No
Chelsea,22,1/17/1987,11/25/2023,846,1436,77456,438,146,5,Female,Spain,Private,No
James,56,10/13/1969,2/11/2016,313,50879,67308,543,130,10,Male,Spain,Private,No
Troy,49,6/17/1973,1/6/2023,456,84666,19648,3921,80,11,Female,Spain,Private,No
Rose,60,4/9/1970,6/20/2015,347,40196,51498,1606,98,5,Female,Spain,Private,No
Morgan,22,3/7/1959,11/14/2016,143,83180,80605,4618,110,12,Male,Pakistan,Private,No
Megan,18,10/9/2004,9/30/2024,62,63997,23725,4956,114,10,Male,Spain,Private,No
Joel,42,2/16/1988,8/27/2023,449,50207,59883,833,142,7,Male,Spain,Private,No
Michelle,31,10/14/1981,11/20/2022,913,21438,23564,3849,85,5,Female,Spain,Private,No
Mary,57,5/4/1996,4/19/2016,657,61862,23643,1257,83,9,Female,Spain,Private,No
Gary,44,2/10/1962,5/28/2022,38,41004,75397,1529,117,8,Female,Pakistan,Private,No
Tyler,52,8/6/1970,3/18/2017,268,1334,55742,2246,126,10,Male,Spain,Private,No
Steve,65,4/18/1988,4/24/2017,857,87004,40459,1459,141,7,Female,Spain,Private,No
Joseph,19,10/5/1991,1/15/2024,143,25088,56710,1619,144,6,Male,Spain,Private,No
Christopher,41,9/4/1979,4/29/2021,320,84680,94681,3156,86,8,Male,Spain,Private,No
William,46,11/22/1992,5/21/2020,298,17672,29116,1593,108,12,Male,Spain,Private,No
Anthony,56,3/26/1971,3/28/2016,618,32427,89629,4673,139,6,Female,Spain,Private,No
Christian,47,1/20/1960,12/20/2021,575,54250,97323,4262,92,5,Male,Spain,Private,No
Alexander,33,4/25/1983,1/17/2022,872,92802,40550,3904,91,6,Male,Spain,Private,No
Dr.Lily,49,3/15/1962,4/2/2023,407,30655,63880,154,115,12,Male,Spain,Private,No
Stephen,53,10/30/1997,1/31/2015,660,8897,13359,4594,103,11,Male,Spain,Private,No
Jody,47,7/8/1975,9/7/2022,987,51266,65472,4322,81,10,Female,Spain,Private,No
Lindsay,24,9/5/1966,10/14/2018,600,40171,5952,20,143,7,Female,Spain,Private,No
Amanda,46,10/19/1981,11/22/2017,358,94533,95533,661,81,9,Female,Spain,Private,No
Richard,22,12/19/1971,2/17/2016,565,20044,47395,1152,112,10,Male,Spain,Private,No
Shane,42,2/8/2003,11/25/2019,377,70035,18416,3912,127,10,Female,Spain,Private,No
Heather,31,8/29/1983,5/6/2021,34,83190,43916,315,142,6,Male,Spain,Private,No
Eric,48,7/26/1960,10/27/2016,118,68858,97198,465,127,8,Male,Pakistan,Private,No
patrick,64,10/12/1999,2/18/2019,715,27133,7541,2403,114,9,Male,Spain,Private,No
Terry,62,8/4/1989,4/18/2022,349,36664,7471,2552,131,8,Female,Pakistan,Private,No
Brianna,30,11/2/1977,9/19/2019,509,6929,35555,1404,115,9,Female,Spain,Private,No
Lauren,39,8/3/1986,11/15/2022,782,64431,48187,1013,116,12,Male,Spain,Private,No
Garya,53,4/9/1967,6/5/2023,813,61645,23428,3246,108,6,Female,Spain,Private,No
Sierra,30,2/22/1986,4/7/2017,618,48559,96148,4429,145,7,Female,Spain,Private,No
Erican,64,10/19/1992,3/20/2022,631,6743,7317,2817,123,11,Male,Spain,Private,No
Beth,45,3/1/1976,2/8/2021,39,90190,38401,4879,91,5,Male,Spain,Private,No
Joshi,30,1/17/1978,3/31/2020,901,18573,80296,1424,147,9,Female,Spain,Private,No
Pamela,32,10/8/1972,12/26/2020,983,56986,89928,3105,80,11,Female,Spain,Private,No
Patricia,34,9/26/2002,3/31/2023,889,41869,91432,82,135,11,Female,Spain,Private,No
Jenny,19,7/16/1985,10/22/2024,759,21359,95296,4560,96,7,Male,Spain,Private,No
Mark,27,10/22/1978,2/19/2022,945,44920,32437,1492,126,8,Male,Spain,Private,No
Josephus,50,4/10/1964,3/6/2015,431,54404,68510,103,150,6,Male,Spain,Private,No
Brian,57,3/4/1978,4/11/2020,460,68836,7549,4859,142,12,Male,Slovenia,Public,Yes
Matthew,47,3/31/1975,5/28/2020,836,65690,5584,1957,94,9,Male,Slovenia,Private,Yes
Andrea,63,9/26/1972,4/26/2020,22,39243,31518,4420,122,10,Female,Lesotho,Private,Yes
Willia,24,11/14/1960,1/21/2024,784,68820,48107,4762,149,10,Male,Pakistan,Private,Yes
Steven,20,8/17/1988,5/23/2024,429,30377,12226,1624,121,10,Male,Mexico,Private,No
Brandi,25,10/27/2003,9/23/2024,540,21173,29303,1663,107,7,Female,Comoros,Public,Yes
Amandar,22,1/18/1997,12/26/2020,642,6814,49943,3060,130,7,Female,Greece,Private,No
David,53,8/10/1960,9/3/2022,722,42587,48759,2154,130,10,Male,Liechtenstein,Private,Yes
Anthon,57,2/1/1996,5/3/2020,145,57956,28779,1673,105,9,Female,Bolivia,Public,Yes
Rachael,60,10/31/1987,8/18/2024,67,89497,34129,4774,113,6,Male,Grenada,Private,Yes
Charles,59,1/27/1996,6/16/2017,844,25657,67164,1370,150,8,Male,Pakistan,Public,No
Katherine,59,5/27/2004,2/26/2020,442,50599,19580,3119,134,5,Female,Macedonia,Public,No
Paul,57,1/15/1999,5/14/2015,655,58115,30781,2475,128,5,Male,Tonga,Public,No
Nicole,27,4/14/1997,1/27/2024,569,86614,85394,440,92,6,Female,Malawi,Private,Yes
Briana,59,2/25/1983,4/14/2022,730,62002,55959,3029,145,8,Male,Bouvet Island (Bouvetoya),Private,Yes
Rebecca,38,10/2/2001,8/16/2016,252,73745,62805,482,109,6,Female,Romania,Public,Yes
Christina,40,2/21/1967,10/14/2015,684,82628,36751,1096,105,7,Female,Pakistan,Public,Yes
Criamp,23,10/21/1986,3/16/2020,728,69442,36197,1319,102,7,Male,Korea,Public,No
Laura,59,6/2/1990,11/16/2023,538,70331,69131,895,94,6,Female,Tokelau,Public,Yes
Thomas,20,9/2/1977,5/25/2018,167,13717,87032,3272,108,10,Male,Iceland,Private,Yes
Donald,48,5/1/1973,4/23/2024,484,5735,65913,3421,84,10,Male,Pakistan,Private,Yes
